word,emotion
art,anticipation
art,joy
art,sadness
art,surprise
artillery,fear
ashamed,disgust
ashamed,sadness
ashes,sadness
asp,fear
aspiration,anticipation
aspiration,joy
aspiration,surprise
aspiration,trust
aspire,anticipation
aspire,joy
aspiring,anticipation
aspiring,joy
aspiring,trust
assail,anger
assail,fear
assail,surprise
assailant,anger
assailant,fear
assailant,sadness
assassin,anger
assassin,fear
assassin,sadness
assassinate,anger
assassinate,fear
assassination,anger
assassination,fear
assassination,sadness
assault,anger
assault,fear
assembly,trust
asserting,trust
assessment,surprise
assessment,trust
assessor,trust
asshole,anger
asshole,disgust
assignee,trust
assist,trust
associate,trust
association,trust
assurance,trust
assure,trust
assured,trust
assuredly,trust
astonishingly,surprise
astonishment,joy
astonishment,surprise
astray,fear
astrologer,anticipation
astronomer,anticipation
asylum,fear
asymmetry,disgust
atherosclerosis,fear
atherosclerosis,sadness
atone,anticipation
atone,joy
atone,trust
atrocious,anger
atrocious,disgust
atrocity,anger
atrocity,disgust
atrocity,fear
atrocity,sadness
atrophy,disgust
atrophy,fear
atrophy,sadness
attack,anger
attack,fear
attacking,anger
attacking,disgust
attacking,fear
attacking,sadness
attacking,surprise
attainable,anticipation
attempt,anticipation
attendance,anticipation
attendant,trust
attentive,trust
attenuation,sadness
attest,trust
attestation,trust
attorney,anger
attorney,fear
attorney,trust
auction,anticipation
audience,anticipation
auditor,fear
auditor,trust
aunt,trust
auspicious,anticipation
auspicious,joy
austere,fear
austere,sadness
authentic,joy
authentic,trust
authenticate,trust
authentication,trust
authenticity,trust
author,trust
authoritative,trust
authority,trust
authorization,trust
authorize,trust
automatic,trust
autopsy,disgust
autopsy,fear
autopsy,sadness
avalanche,fear
avalanche,sadness
avalanche,surprise
avarice,anger
avarice,disgust
avenger,anger
averse,anger
averse,disgust
averse,fear
aversion,anger
aversion,disgust
aversion,fear
avoid,fear
avoidance,fear
avoiding,fear
await,anticipation
award,anticipation
award,joy
award,surprise
award,trust
awful,anger
awful,disgust
awful,fear
awful,sadness
awkwardness,disgust
axiom,trust
axiomatic,trust
baboon,disgust
baby,joy
babysitter,trust
backbone,anger
backbone,trust
backer,trust
backwards,disgust
backwater,sadness
bacteria,disgust
bacteria,fear
bacteria,sadness
bacterium,disgust
bacterium,fear
bad,anger
